date,sku,warehouse,demand,sales,inventory_on_hand,replenishment_qty,lead_time_days,stockout_flag
1/1/2023,SKU_001,WH_A,35,35,435,0,13,0
1/2/2023,SKU_001,WH_A,29,29,406,0,13,0
1/3/2023,SKU_001,WH_A,29,29,377,0,13,0
1/4/2023,SKU_001,WH_A,23,23,354,0,13,0
1/5/2023,SKU_001,WH_A,19,19,335,0,13,0
1/6/2023,SKU_001,WH_A,41,41,294,0,13,0
1/7/2023,SKU_001,WH_A,32,32,262,0,13,0
1/8/2023,SKU_001,WH_A,28,28,234,0,13,0
1/9/2023,SKU_001,WH_A,21,21,213,0,13,0
1/10/2023,SKU_001,WH_A,29,29,184,0,13,0
1/11/2023,SKU_001,WH_A,33,33,151,0,13,0
1/12/2023,SKU_001,WH_A,31,31,665,545,13,0
1/13/2023,SKU_001,WH_A,21,21,644,0,13,0
1/14/2023,SKU_001,WH_A,29,29,615,0,13,0
1/15/2023,SKU_001,WH_A,30,30,585,0,13,0
1/16/2023,SKU_001,WH_A,39,39,546,0,13,0
1/17/2023,SKU_001,WH_A,33,33,513,0,13,0
1/18/2023,SKU_001,WH_A,30,30,483,0,13,0
1/19/2023,SKU_001,WH_A,38,38,445,0,13,0
1/20/2023,SKU_001,WH_A,39,39,406,0,13,0
1/21/2023,SKU_001,WH_A,24,24,382,0,13,0
1/22/2023,SKU_001,WH_A,27,27,355,0,13,0
1/23/2023,SKU_001,WH_A,26,26,329,0,13,0
1/24/2023,SKU_001,WH_A,28,28,301,0,13,0
1/25/2023,SKU_001,WH_A,31,31,270,0,13,0
1/26/2023,SKU_001,WH_A,35,35,235,0,13,0
1/27/2023,SKU_001,WH_A,25,25,210,0,13,0
1/28/2023,SKU_001,WH_A,36,36,174,0,13,0
1/29/2023,SKU_001,WH_A,34,34,600,460,13,0
1/30/2023,SKU_001,WH_A,40,40,560,0,13,0
1/31/2023,SKU_001,WH_A,39,39,521,0,13,0
2/1/2023,SKU_001,WH_A,29,29,492,0,13,0
2/2/2023,SKU_001,WH_A,28,28,464,0,13,0
2/3/2023,SKU_001,WH_A,33,33,431,0,13,0
2/4/2023,SKU_001,WH_A,26,26,405,0,13,0
2/5/2023,SKU_001,WH_A,25,25,380,0,13,0
2/6/2023,SKU_001,WH_A,22,22,358,0,13,0
2/7/2023,SKU_001,WH_A,25,25,333,0,13,0
2/8/2023,SKU_001,WH_A,30,30,303,0,13,0
2/9/2023,SKU_001,WH_A,33,33,270,0,13,0
2/10/2023,SKU_001,WH_A,32,32,238,0,13,0
2/11/2023,SKU_001,WH_A,32,32,206,0,13,0
2/12/2023,SKU_001,WH_A,38,38,168,0,13,0
2/13/2023,SKU_001,WH_A,26,26,625,483,13,0
2/14/2023,SKU_001,WH_A,35,35,590,0,13,0
2/15/2023,SKU_001,WH_A,38,38,552,0,13,0
2/16/2023,SKU_001,WH_A,27,27,525,0,13,0
2/17/2023,SKU_001,WH_A,25,25,500,0,13,0
2/18/2023,SKU_001,WH_A,29,29,471,0,13,0
2/19/2023,SKU_001,WH_A,22,22,449,0,13,0
2/20/2023,SKU_001,WH_A,41,41,408,0,13,0
2/21/2023,SKU_001,WH_A,30,30,378,0,13,0
2/22/2023,SKU_001,WH_A,28,28,350,0,13,0
2/23/2023,SKU_001,WH_A,44,44,306,0,13,0
2/24/2023,SKU_001,WH_A,30,30,276,0,13,0
2/25/2023,SKU_001,WH_A,26,26,250,0,13,0
2/26/2023,SKU_001,WH_A,32,32,218,0,13,0
2/27/2023,SKU_001,WH_A,18,18,200,0,13,0
2/28/2023,SKU_001,WH_A,39,39,161,0,13,0
3/1/2023,SKU_001,WH_A,23,23,497,359,13,0
3/2/2023,SKU_001,WH_A,31,31,466,0,13,0
3/3/2023,SKU_001,WH_A,21,21,445,0,13,0
3/4/2023,SKU_001,WH_A,25,25,420,0,13,0
3/5/2023,SKU_001,WH_A,28,28,392,0,13,0
3/6/2023,SKU_001,WH_A,35,35,357,0,13,0
3/7/2023,SKU_001,WH_A,30,30,327,0,13,0
3/8/2023,SKU_001,WH_A,37,37,290,0,13,0
3/9/2023,SKU_001,WH_A,25,25,265,0,13,0
3/10/2023,SKU_001,WH_A,36,36,229,0,13,0
3/11/2023,SKU_001,WH_A,28,28,201,0,13,0
3/12/2023,SKU_001,WH_A,36,36,165,0,13,0
3/13/2023,SKU_001,WH_A,34,34,628,497,13,0
3/14/2023,SKU_001,WH_A,26,26,602,0,13,0
3/15/2023,SKU_001,WH_A,36,36,566,0,13,0
3/16/2023,SKU_001,WH_A,30,30,536,0,13,0
3/17/2023,SKU_001,WH_A,38,38,498,0,13,0
3/18/2023,SKU_001,WH_A,27,27,471,0,13,0
3/19/2023,SKU_001,WH_A,32,32,439,0,13,0
3/20/2023,SKU_001,WH_A,24,24,415,0,13,0
3/21/2023,SKU_001,WH_A,32,32,383,0,13,0
3/22/2023,SKU_001,WH_A,22,22,361,0,13,0
3/23/2023,SKU_001,WH_A,31,31,330,0,13,0
3/24/2023,SKU_001,WH_A,32,32,298,0,13,0
3/25/2023,SKU_001,WH_A,34,34,264,0,13,0
3/26/2023,SKU_001,WH_A,27,27,237,0,13,0
3/27/2023,SKU_001,WH_A,32,32,205,0,13,0
3/28/2023,SKU_001,WH_A,33,33,172,0,13,0
3/29/2023,SKU_001,WH_A,21,21,151,0,13,0
3/30/2023,SKU_001,WH_A,26,26,362,237,13,0
3/31/2023,SKU_001,WH_A,39,39,323,0,13,0
4/1/2023,SKU_001,WH_A,27,27,296,0,13,0
4/2/2023,SKU_001,WH_A,25,25,271,0,13,0
4/3/2023,SKU_001,WH_A,31,31,240,0,13,0
4/4/2023,SKU_001,WH_A,29,29,211,0,13,0
4/5/2023,SKU_001,WH_A,43,43,168,0,13,0
4/6/2023,SKU_001,WH_A,31,31,524,387,13,0
4/7/2023,SKU_001,WH_A,37,37,487,0,13,0
4/8/2023,SKU_001,WH_A,28,28,459,0,13,0
4/9/2023,SKU_001,WH_A,27,27,432,0,13,0
4/10/2023,SKU_001,WH_A,31,31,401,0,13,0
4/11/2023,SKU_001,WH_A,33,33,368,0,13,0
4/12/2023,SKU_001,WH_A,21,21,347,0,13,0
4/13/2023,SKU_001,WH_A,30,30,317,0,13,0
4/14/2023,SKU_001,WH_A,34,34,283,0,13,0
4/15/2023,SKU_001,WH_A,33,33,250,0,13,0
4/16/2023,SKU_001,WH_A,26,26,224,0,13,0
4/17/2023,SKU_001,WH_A,39,39,185,0,13,0
4/18/2023,SKU_001,WH_A,30,30,155,0,13,0
4/19/2023,SKU_001,WH_A,32,32,722,599,13,0
4/20/2023,SKU_001,WH_A,29,29,693,0,13,0
4/21/2023,SKU_001,WH_A,27,27,666,0,13,0
4/22/2023,SKU_001,WH_A,37,37,629,0,13,0
4/23/2023,SKU_001,WH_A,16,16,613,0,13,0
4/24/2023,SKU_001,WH_A,31,31,582,0,13,0
4/25/2023,SKU_001,WH_A,36,36,546,0,13,0
4/26/2023,SKU_001,WH_A,45,45,501,0,13,0
4/27/2023,SKU_001,WH_A,36,36,465,0,13,0
4/28/2023,SKU_001,WH_A,28,28,437,0,13,0
4/29/2023,SKU_001,WH_A,23,23,414,0,13,0
4/30/2023,SKU_001,WH_A,29,29,385,0,13,0
5/1/2023,SKU_001,WH_A,26,26,359,0,13,0
5/2/2023,SKU_001,WH_A,21,21,338,0,13,0
5/3/2023,SKU_001,WH_A,33,33,305,0,13,0
5/4/2023,SKU_001,WH_A,39,39,266,0,13,0
5/5/2023,SKU_001,WH_A,25,25,241,0,13,0
5/6/2023,SKU_001,WH_A,32,32,209,0,13,0
5/7/2023,SKU_001,WH_A,33,33,176,0,13,0
5/8/2023,SKU_001,WH_A,34,34,495,353,13,0
5/9/2023,SKU_001,WH_A,28,28,467,0,13,0
5/10/2023,SKU_001,WH_A,17,17,450,0,13,0
5/11/2023,SKU_001,WH_A,37,37,413,0,13,0
5/12/2023,SKU_001,WH_A,30,30,383,0,13,0
5/13/2023,SKU_001,WH_A,30,30,353,0,13,0
5/14/2023,SKU_001,WH_A,24,24,329,0,13,0
5/15/2023,SKU_001,WH_A,28,28,301,0,13,0
5/16/2023,SKU_001,WH_A,32,32,269,0,13,0
5/17/2023,SKU_001,WH_A,28,28,241,0,13,0
5/18/2023,SKU_001,WH_A,30,30,211,0,13,0
5/19/2023,SKU_001,WH_A,33,33,178,0,13,0
5/20/2023,SKU_001,WH_A,20,20,158,0,13,0
5/21/2023,SKU_001,WH_A,41,41,494,377,13,0
5/22/2023,SKU_001,WH_A,31,31,463,0,13,0
5/23/2023,SKU_001,WH_A,32,32,431,0,13,0
5/24/2023,SKU_001,WH_A,32,32,399,0,13,0
5/25/2023,SKU_001,WH_A,26,26,373,0,13,0
5/26/2023,SKU_001,WH_A,28,28,345,0,13,0
5/27/2023,SKU_001,WH_A,32,32,313,0,13,0
5/28/2023,SKU_001,WH_A,33,33,280,0,13,0
5/29/2023,SKU_001,WH_A,33,33,247,0,13,0
5/30/2023,SKU_001,WH_A,26,26,221,0,13,0
5/31/2023,SKU_001,WH_A,33,33,188,0,13,0
6/1/2023,SKU_001,WH_A,41,41,563,416,13,0
6/2/2023,SKU_001,WH_A,35,35,528,0,13,0
6/3/2023,SKU_001,WH_A,24,24,504,0,13,0
6/4/2023,SKU_001,WH_A,29,29,475,0,13,0
6/5/2023,SKU_001,WH_A,35,35,440,0,13,0
6/6/2023,SKU_001,WH_A,40,40,400,0,13,0
6/7/2023,SKU_001,WH_A,29,29,371,0,13,0
6/8/2023,SKU_001,WH_A,34,34,337,0,13,0
6/9/2023,SKU_001,WH_A,38,38,299,0,13,0
6/10/2023,SKU_001,WH_A,36,36,263,0,13,0
6/11/2023,SKU_001,WH_A,38,38,225,0,13,0
6/12/2023,SKU_001,WH_A,21,21,204,0,13,0
6/13/2023,SKU_001,WH_A,31,31,173,0,13,0
6/14/2023,SKU_001,WH_A,29,29,368,224,13,0
6/15/2023,SKU_001,WH_A,31,31,337,0,13,0
6/16/2023,SKU_001,WH_A,31,31,306,0,13,0
6/17/2023,SKU_001,WH_A,36,36,270,0,13,0
6/18/2023,SKU_001,WH_A,25,25,245,0,13,0
6/19/2023,SKU_001,WH_A,38,38,207,0,13,0
6/20/2023,SKU_001,WH_A,30,30,177,0,13,0
6/21/2023,SKU_001,WH_A,31,31,687,541,13,0
6/22/2023,SKU_001,WH_A,28,28,659,0,13,0
